景點名稱,縣市,總人次,,
陽明山國家公園,,9609265 ,,
陽明山遊客中心,臺北市,682638 ,,
陽明書屋,臺北市,72875 ,,
陽明公園,臺北市,6436602 ,,
大屯遊憩區,臺北市,346201 ,,
龍鳳谷遊憩區,臺北市,312187 ,,
小油坑遊憩區,臺北市,465383 ,,
冷水坑,臺北市,654976 ,,
擎天崗,臺北市,638403 ,,
,,,,
,,,,
玉山國家公園,,1392001 ,,
塔塔加遊憩區,南投縣,546253 ,,
玉山管理處遊客服務中心,南投縣,48489 ,,
排雲山莊,嘉義縣,45712 ,,
梅山遊客中心,高雄市,541787 ,,
南安遊客中心,花蓮縣,209760 ,,
,,,,
,,,,
雪霸國家公園,,497831 ,,
汶水遊客中心,苗栗縣,340603 ,,
觀霧遊客中心,苗栗縣,87765 ,,
雪見遊憩區,苗栗縣,69463 ,,
,,,,
,,,,
墾丁國家公園,,1002201 ,,
墾丁國家公園管理處遊客中心,屏東縣,12109 ,,
鵝鑾鼻公園,屏東縣,298440 ,,
貓鼻頭公園,屏東縣,179048 ,,
佳樂水,屏東縣,28720 ,,
社頂自然公園,屏東縣,74103 ,,
南灣遊憩區,屏東縣,246954 ,,
龍鑾潭自然中心,屏東縣,49465 ,,
砂島貝殼砂展示館,屏東縣,113362 ,,
,,,,
,,,,
太魯閣國家公園,,1744927 ,,
太魯閣國家公園遊客中心,花蓮縣,210131 ,,
布洛灣遊憩區,花蓮縣,205953 ,,
臺八線沿線景觀區,花蓮縣,1328843 ,,
,,,,
,,,,
金門國家公園,,3655046 ,,
中山林遊客中心,金門縣,93795 ,,
翟山坑道,金門縣,243463 ,,
雙鯉溼地自然中心,金門縣,36171 ,,
古寧頭戰史館,金門縣,28988 ,,
九宮,金門縣,150724 ,,
八二三砲戰紀念館,金門縣,29153 ,,
湖井頭戰史館,金門縣,133335 ,,
金水學校,金門縣,71416 ,,
蔣經國先生紀念館,金門縣,65183 ,,
民俗文化村,金門縣,164844 ,,
得月樓,金門縣,98935 ,,
壽山園區,高雄市,1856755 ,,
半屏山園區,高雄市,122058 ,,
龜山園區,高雄市,361383 ,,
旗後山園區,高雄市,198843 ,,
